Wavelength	Refractive Index
756	1.5117
757	1.51168
758	1.51166
759	1.51164
760	1.51163
761	1.51161
762	1.51159
763	1.51157
764	1.51155
765	1.51154
766	1.51152
767	1.5115
768	1.51148
769	1.51146
770	1.51145
771	1.51143
772	1.51141
773	1.5114
774	1.51138
775	1.51136
776	1.51134
777	1.51133
778	1.51131
779	1.51129
780	1.51128
781	1.51126
782	1.51124
783	1.51123
784	1.51121
785	1.51119
786	1.51118
787	1.51116
788	1.51114
789	1.51113
790	1.51111
791	1.5111
792	1.51108
793	1.51107
794	1.51105
795	1.51103
796	1.51102
797	1.511
798	1.51099
799	1.51097
800	1.51096
801	1.51094
802	1.51093
803	1.51091
804	1.51089
805	1.51088
806	1.51086
807	1.51085
808	1.51083
809	1.51082
810	1.51081
811	1.51079
812	1.51078
813	1.51076
814	1.51075
815	1.51073
816	1.51072
817	1.5107
818	1.51069
819	1.51067
820	1.51066
821	1.51065
822	1.51063
823	1.51062
824	1.5106
825	1.51059
826	1.51058
827	1.51056
828	1.51055
829	1.51054
830	1.51052
831	1.51051
832	1.51049
833	1.51048
834	1.51047
835	1.51045
836	1.51044
837	1.51043
838	1.51041
839	1.5104
840	1.51039
841	1.51038
842	1.51036
843	1.51035
844	1.51034
845	1.51032
846	1.51031
847	1.5103
848	1.51029
849	1.51027
850	1.51026
851	1.51025
852	1.51023
853	1.51022
854	1.51021
855	1.5102
856	1.51019
857	1.51017
858	1.51016
859	1.51015
860	1.51014
861	1.51012
862	1.51011
863	1.5101
864	1.51009
865	1.51008
866	1.51006
867	1.51005
868	1.51004
869	1.51003
870	1.51002
871	1.51001
872	1.50999
873	1.50998
874	1.50997
875	1.50996
876	1.50995
877	1.50994
878	1.50993
879	1.50992
880	1.5099
881	1.50989
882	1.50988
883	1.50987
884	1.50986
885	1.50985
886	1.50984
887	1.50983
888	1.50982
889	1.50981
890	1.50979
891	1.50978
892	1.50977
893	1.50976
894	1.50975
895	1.50974
896	1.50973
897	1.50972
898	1.50971
899	1.5097
900	1.5097
