Wavelength	 Refractive Index	
350.0	 1.807419445349625	
351.0	 1.8058832875589481	
352.0	 1.8052788272077822	
353.0	 1.804508288777029	
354.0	 1.8036662814654036	
355.0	 1.803082774658396	
356.0	 1.801827666120537	
357.0	 1.80119554969853	
358.0	 1.8000763302996736	
359.0	 1.8002139383126585	
360.0	 1.7988438807751341	
361.0	 1.7986546395019496	
362.0	 1.7974922216687599	
363.0	 1.798488241876961	
364.0	 1.7984341015409564	
365.0	 1.7980024007855762	
366.0	 1.7968419733033882	
367.0	 1.7958396133599845	
368.0	 1.7957864080353256	
369.0	 1.7956934519512766	
370.0	 1.7955170781681913	
371.0	 1.7951524352271002	
372.0	 1.795471971154246	
373.0	 1.794369856507487	
374.0	 1.7935565328114838	
375.0	 1.794352963585169	
376.0	 1.7960060911283233	
377.0	 1.795507672355668	
378.0	 1.796387014448626	
379.0	 1.792826682345534	
380.0	 1.7919216143806662	
381.0	 1.7921305321431176	
382.0	 1.7913850957131583	
383.0	 1.7919374844385312	
384.0	 1.7913283420507082	
385.0	 1.79084481198934	
386.0	 1.790161252872867	
387.0	 1.7904170395770165	
388.0	 1.78936151250328	
389.0	 1.7894022722401541	
390.0	 1.7897334935485183	
391.0	 1.7893333310337387	
392.0	 1.788388201622905	
393.0	 1.787867753714917	
394.0	 1.787461190453828	
395.0	 1.7875291938654374	
396.0	 1.786941336898183	
397.0	 1.7865839415119957	
398.0	 1.7858068971656664	
399.0	 1.7848999896439357	
400.0	 1.784843646534626	
401.0	 1.785276144724931	
402.0	 1.7848496317283447	
403.0	 1.7839559707556125	
404.0	 1.7836064168323844	
405.0	 1.7831377838749556	
406.0	 1.7826886534760373	
407.0	 1.7819061233892515	
408.0	 1.7822567593536733	
409.0	 1.7814001563667927	
410.0	 1.7808053211118027	
411.0	 1.7800739338244014	
412.0	 1.7797622591092233	
413.0	 1.7792963629470746	
414.0	 1.779379972682694	
415.0	 1.7787219378015633	
416.0	 1.7783534850185483	
417.0	 1.7780347429853325	
418.0	 1.7771455717131892	
419.0	 1.7769710391009412	
420.0	 1.7768434257978891	
421.0	 1.7761833245426324	
422.0	 1.7756930310575758	
423.0	 1.7755168605254859	
424.0	 1.7749199968142626	
425.0	 1.7747262878693413	
426.0	 1.774270592751432	
427.0	 1.7737617620467077	
428.0	 1.7730491693943988	
429.0	 1.7728039365425345	
430.0	 1.772331365293044	
431.0	 1.7722884646158064	
432.0	 1.7720198092087323	
433.0	 1.7718837857636796	
434.0	 1.7715437788746295	
435.0	 1.7709316489925702	
436.0	 1.770527611679713	
437.0	 1.7702249746855194	
438.0	 1.769804727806035	
439.0	 1.7693500039531853	
440.0	 1.7691192778009595	
441.0	 1.7686253483655892	
442.0	 1.7682718484134252	
443.0	 1.7680701320832284	
444.0	 1.7677937759600288	
445.0	 1.76748633346747	
446.0	 1.7674754245016608	
447.0	 1.7668919641772522	
448.0	 1.7664758318739715	
449.0	 1.7660480583897706	
450.0	 1.7657038212616294	
451.0	 1.7654162692374882	
452.0	 1.7654642073546236	
453.0	 1.7649400377752755	
454.0	 1.7646736466997048	
455.0	 1.7640877518123153	
456.0	 1.763820550004827	
457.0	 1.7637314791837468	
458.0	 1.7633724829728927	
459.0	 1.7631193369826526	
460.0	 1.76279381278791	
461.0	 1.7625402882494143	
462.0	 1.7622667032608286	
463.0	 1.7621905969006966	
464.0	 1.761846684913038	
465.0	 1.7614685927740932	
466.0	 1.7613614296602027	
467.0	 1.761102360708609	
468.0	 1.760756496807289	
469.0	 1.7604676567511648	
470.0	 1.7602151049110601	
471.0	 1.7600094289777612	
472.0	 1.7595672690140212	
473.0	 1.7594899400136705	
474.0	 1.759487657473658	
475.0	 1.7592254340290787	
476.0	 1.7587278508016468	
477.0	 1.7584716005054717	
478.0	 1.7582397584098064	
479.0	 1.7579446623888106	
480.0	 1.757842878989096	
481.0	 1.7576257422736723	
482.0	 1.7571369716282095	
483.0	 1.7565616970100777	
484.0	 1.7563946785022186	
485.0	 1.7565238363574702	
486.0	 1.7562034955632257	
487.0	 1.7558454025509789	
488.0	 1.755799643669048	
489.0	 1.7555186415409996	
490.0	 1.7550971381797242	
491.0	 1.754857635297805	
492.0	 1.7545501184133507	
493.0	 1.7539541326377273	
494.0	 1.7538647205917737	
495.0	 1.7539870296967484	
496.0	 1.7536344983533403	
497.0	 1.7534722132041851	
498.0	 1.753387362522514	
499.0	 1.753062420528459	
500.0	 1.7527635708345202	
501.0	 1.7526081106907798	
502.0	 1.75247509208307	
503.0	 1.7523390207543965	
504.0	 1.7520269545058391	
505.0	 1.7518471455263205	
506.0	 1.751670377772731	
507.0	 1.751494434090009	
508.0	 1.7513053157854648	
509.0	 1.7511484845150296	
510.0	 1.7509727959647832	
511.0	 1.7508214968629279	
512.0	 1.7506724102105677	
513.0	 1.7504124834016963	
514.0	 1.750016600799959	
515.0	 1.7498010017616172	
516.0	 1.7498575022756881	
517.0	 1.7497151749533026	
518.0	 1.7494864564927428	
519.0	 1.7492529411664894	
520.0	 1.7490870873025892	
521.0	 1.748913876571088	
522.0	 1.7485861568203598	
523.0	 1.7484374746269926	
524.0	 1.7483668764321028	
525.0	 1.7481676275987894	
526.0	 1.7478532343546445	
527.0	 1.747694398632825	
528.0	 1.7476741448993867	
529.0	 1.7476289204440603	
530.0	 1.7473288448416047	
531.0	 1.7469892734804997	
532.0	 1.7469235064232025	
533.0	 1.746792385376845	
534.0	 1.7465202089305805	
535.0	 1.7462247001775524	
536.0	 1.746121242718397	
537.0	 1.745962755457326	
538.0	 1.7457135625830167	
539.0	 1.7456815015594007	
540.0	 1.7455009280038245	
541.0	 1.7452102028078058	
542.0	 1.7450513326162935	
543.0	 1.7449836599155553	
544.0	 1.7447747349384337	
545.0	 1.744616333387457	
546.0	 1.7444225918518297	
547.0	 1.7441992672281796	
548.0	 1.7443145756549752	
549.0	 1.7440723616212734	
550.0	 1.7438125674232174	
551.0	 1.7436401719172565	
552.0	 1.7435219277499727	
553.0	 1.7434269410455285	
554.0	 1.7433320909457837	
555.0	 1.743217934527647	
556.0	 1.7429929451150514	
557.0	 1.7427939160590655	
558.0	 1.7425760559730008	
559.0	 1.7424241649069423	
560.0	 1.7422942159723696	
561.0	 1.742138980081854	
562.0	 1.7422192034168045	
563.0	 1.7419902673991132	
564.0	 1.7415361762455461	
565.0	 1.7413631257311868	
566.0	 1.7413748664528224	
567.0	 1.7413136614781755	
568.0	 1.7410345797125932	
569.0	 1.7408742220293925	
570.0	 1.7406639684392728	
571.0	 1.7406982934912791	
572.0	 1.7407065620304456	
573.0	 1.7404732991045737	
574.0	 1.740340297569212	
575.0	 1.7402864424739162	
576.0	 1.7402231357261808	
577.0	 1.7399306327142856	
578.0	 1.7397150462365683	
579.0	 1.7395234964644328	
580.0	 1.739383998366235	
581.0	 1.7391848556357028	
582.0	 1.7392049441418895	
583.0	 1.7391690071869024	
584.0	 1.7390196949570986	
585.0	 1.738737390154708	
586.0	 1.7384647285488954	
587.0	 1.7384356676095585	
588.0	 1.7383313106250817	
589.0	 1.7382256993198446	
590.0	 1.7382368237528576	
591.0	 1.7382006692261331	
592.0	 1.7381895446870597	
593.0	 1.738001952327718	
594.0	 1.7377827121857958	
595.0	 1.737830969727853	
596.0	 1.7376303562294406	
597.0	 1.7374131116548424	
598.0	 1.737328894786511	
599.0	 1.7371704702752016	
600.0	 1.7369959036491114	
601.0	 1.7368296754527315	
602.0	 1.7367855090094055	
603.0	 1.7367967767132209	
604.0	 1.7364437060956024	
605.0	 1.73632148709849	
606.0	 1.7361979424656817	
607.0	 1.735974564177376	
608.0	 1.735914178139213	
609.0	 1.7359497976702294	
610.0	 1.736012965860345	
611.0	 1.735791733467042	
612.0	 1.735498615542852	
613.0	 1.7355295077419173	
614.0	 1.7355772370908702	
615.0	 1.7353611282852264	
616.0	 1.7349998526363872	
617.0	 1.7349629716377546	
618.0	 1.7349406341046845	
619.0	 1.7348195498575254	
620.0	 1.7346885796674023	
621.0	 1.7347368763191184	
622.0	 1.7344882185202173	
623.0	 1.7342492188157137	
624.0	 1.7340953991278754	
625.0	 1.7340147282895093	
626.0	 1.7340253777735102	
627.0	 1.7338264432145887	
628.0	 1.733692236502907	
629.0	 1.7336957866375604	
630.0	 1.7335454250309847	
631.0	 1.7333543318184497	
632.0	 1.7332856194253823	
633.0	 1.733279284176296	
634.0	 1.7331831402504556	
635.0	 1.733108924644142	
636.0	 1.7330014277702195	
637.0	 1.7329872942056075	
638.0	 1.7328870349011292	
639.0	 1.7329047893463199	
640.0	 1.7325755873256348	
641.0	 1.7324964854002614	
642.0	 1.7325616610493078	
643.0	 1.7323939846436751	
644.0	 1.7320093032120993	
645.0	 1.7320736516698303	
646.0	 1.7320534558482867	
647.0	 1.7320570075317372	
648.0	 1.7316545310527627	
649.0	 1.7314381271265897	
650.0	 1.7316247910574136	
651.0	 1.7315997869930102	
652.0	 1.7315511713600302	
653.0	 1.7312878837156556	
654.0	 1.731450385938135	
655.0	 1.7314555402022023	
656.0	 1.7313711208441396	
657.0	 1.731050003303561	
658.0	 1.730793089268132	
659.0	 1.7306407297214357	
660.0	 1.7305985806829731	
661.0	 1.7305935645687653	
662.0	 1.7306835052768546	
663.0	 1.7305045970503137	
664.0	 1.7304792370840436	
665.0	 1.7304383402893528	
666.0	 1.730325889191919	
667.0	 1.7303173193576555	
668.0	 1.7301495417017811	
669.0	 1.7299542327810251	
670.0	 1.730141598550782	
671.0	 1.730093381864742	
672.0	 1.729837307259622	
673.0	 1.7296674172043425	
674.0	 1.7293949356690337	
675.0	 1.7296005182336485	
676.0	 1.7294588417139476	
677.0	 1.7293771644266622	
678.0	 1.7293228048186773	
679.0	 1.7292952065565421	
680.0	 1.7293825306513861	
681.0	 1.7292550632587367	
682.0	 1.729028552060895	
683.0	 1.7289426832377115	
684.0	 1.7287537229395207	
685.0	 1.7288434297622222	
686.0	 1.728949025889936	
687.0	 1.7286418477164658	
688.0	 1.7283944554184034	
689.0	 1.7285107994951912	
690.0	 1.7286065766906409	
691.0	 1.7286557887401037	
692.0	 1.7282425542597595	
693.0	 1.7283837200658796	
694.0	 1.7283896454277217	
695.0	 1.7281538784216466	
696.0	 1.7279399182052078	
697.0	 1.7281727013027202	
698.0	 1.7280857666742027	
699.0	 1.7280322245049944	
700.0	 1.7278571612433602	
701.0	 1.7277729382474296	
702.0	 1.7275436856784125	
703.0	 1.727724620703088	
704.0	 1.7277135347695907	
705.0	 1.7275996056672607	
706.0	 1.7275339937181857	
707.0	 1.727471797236398	
708.0	 1.727012960769417	
709.0	 1.7273989311755509	
710.0	 1.7272200719338069	
711.0	 1.727207310878604	
712.0	 1.7272490107687173	
713.0	 1.7270148436413488	
714.0	 1.726970560784973	
715.0	 1.7268852014444713	
716.0	 1.7267923081146404	
717.0	 1.7268214595817717	
718.0	 1.7267450933978745	
719.0	 1.72633519919732	
720.0	 1.7265311897883924	
721.0	 1.726550160560902	
722.0	 1.7263850696966143	
723.0	 1.726185723082164	
724.0	 1.7264170840974635	
725.0	 1.7262177392480722	
726.0	 1.7263449641019706	
727.0	 1.7262618918029538	
728.0	 1.726068816308796	
729.0	 1.7258885660011825	
730.0	 1.7258567561896214	
731.0	 1.7258687546594604	
732.0	 1.7256876572177684	
733.0	 1.7258164354544898	
734.0	 1.7258320615352711	
735.0	 1.7254216451346451	
736.0	 1.7257848342764752	
737.0	 1.725442993796889	
738.0	 1.7253098067494983	
739.0	 1.725244153274732	
740.0	 1.7249481745095698	
741.0	 1.7253289234731517	
742.0	 1.7252966901104219	
743.0	 1.7253458075038937	
744.0	 1.7250291140761382	
745.0	 1.724978527058162	
746.0	 1.7252045234026037	
747.0	 1.7253621333103346	
748.0	 1.724539680948683	
749.0	 1.7247991292817766	
750.0	 1.7248728153383834	
751.0	 1.7251990812277391	
752.0	 1.7247987106165494	
753.0	 1.7246047192414868	
754.0	 1.7243948757542165	
755.0	 1.7247193010164912	
756.0	 1.7242889374468604	
757.0	 1.724393968510434	
758.0	 1.7243765217147295	
759.0	 1.7246844104916466	
760.0	 1.7241849501689779	
761.0	 1.7243516773007175	
762.0	 1.7241889282552023	
763.0	 1.7239533058683234	
764.0	 1.7237538940994828	
765.0	 1.724014167167907	
