Wavelength	 Refractive Index	
350.0	 1.808106300425169	
351.0	 1.8062003642757756	
352.0	 1.80556571384281	
353.0	 1.805046963643534	
354.0	 1.804947238199465	
355.0	 1.8033474888634866	
356.0	 1.8021533325035588	
357.0	 1.8012302538276486	
358.0	 1.801460557514916	
359.0	 1.8004482620772542	
360.0	 1.799429540905178	
361.0	 1.798126129628882	
362.0	 1.797830287516758	
363.0	 1.798049888832034	
364.0	 1.7977737387571546	
365.0	 1.796369098128542	
366.0	 1.7952094230226863	
367.0	 1.7937412806482265	
368.0	 1.7932900451896048	
369.0	 1.7924575980275828	
370.0	 1.79025341174583	
371.0	 1.7897596796912159	
372.0	 1.7895244808393882	
373.0	 1.7876469772969805	
374.0	 1.7889826309434131	
375.0	 1.7885905915729385	
376.0	 1.789101962341266	
377.0	 1.7868423800004916	
378.0	 1.7852580530491997	
379.0	 1.7848770809724095	
380.0	 1.784062070728988	
381.0	 1.7839259018125204	
382.0	 1.7828606436589303	
383.0	 1.782557058760296	
384.0	 1.7814947451286427	
385.0	 1.781207600023943	
386.0	 1.7806926799256977	
387.0	 1.7800150573194689	
388.0	 1.7792843103461098	
389.0	 1.7789017111920444	
390.0	 1.779054134556569	
391.0	 1.7782564937591079	
392.0	 1.777304526650238	
393.0	 1.776260785515596	
394.0	 1.776070025287379	
395.0	 1.7758312886843206	
396.0	 1.7753181439888548	
397.0	 1.7745519431010868	
398.0	 1.7741060905607484	
399.0	 1.7729172445372925	
400.0	 1.7726670392155475	
401.0	 1.772544621359184	
402.0	 1.7724486159408688	
403.0	 1.771896822663923	
404.0	 1.7709605567467173	
405.0	 1.7708429928445473	
406.0	 1.7702684463281466	
407.0	 1.76976753170917	
408.0	 1.7696126022518126	
409.0	 1.7692154898681693	
410.0	 1.7684188845046642	
411.0	 1.7677628462342911	
412.0	 1.767311648854713	
413.0	 1.7671306050251736	
414.0	 1.7673061251154278	
415.0	 1.766594405149455	
416.0	 1.7659367919913278	
417.0	 1.7653960991453292	
418.0	 1.7646415902841535	
419.0	 1.7645517067249445	
420.0	 1.7643093368705756	
421.0	 1.763904713040009	
422.0	 1.7629529839697302	
423.0	 1.7629502194173066	
424.0	 1.762617978333248	
425.0	 1.762447666623568	
426.0	 1.762257164106459	
427.0	 1.7611219971087966	
428.0	 1.76071708235882	
429.0	 1.7605038233005865	
430.0	 1.759873735659609	
431.0	 1.759993453070611	
432.0	 1.7596565622376306	
433.0	 1.7591385530363868	
434.0	 1.7590062221934553	
435.0	 1.7584956073217548	
436.0	 1.7580871966261815	
437.0	 1.75771161568568	
438.0	 1.7577027585437204	
439.0	 1.7567800640686584	
440.0	 1.7567237949462209	
441.0	 1.7562717465012703	
442.0	 1.755795490042714	
443.0	 1.755509295253731	
444.0	 1.7551656837846776	
445.0	 1.7548624130272146	
446.0	 1.7548352006835943	
447.0	 1.7542934102341003	
448.0	 1.7539195731328798	
449.0	 1.7537424771957606	
450.0	 1.7533447633739436	
451.0	 1.7531035678460838	
452.0	 1.7529490208677674	
