,run number,sector,mean thickness,total thickness spread,thickness uniformity (%)
4,180627-9,omega,142.51527497724183,5.9813757593671255,4.1970067842357865
1,180627-9,alpha,141.97768878336225,5.725808181696692,4.032892936039732
0,180627-8,omega,142.27682254253395,5.864084803920576,4.1216023095873515
3,180627-8,alpha,141.86203817282228,5.169923038367784,3.644331566750484
5,180625-4,N/A,142.27952286949903,5.509370595668543,3.872216102890521
2,180625-3,N/A,142.44801263017186,7.289865345575265,5.117561986983595
